Variable,Description,Type,Units
IPL.INL.7.6,Grosor de la capa IPL-INL celda 7.6,Num,Real (µm)
IPL.INL.7.7,Grosor de la capa IPL-INL celda 7.7,Num,Real (µm)
IPL.INL.7.8,Grosor de la capa IPL-INL celda 7.8,Num,Real (µm)
IPL.INL.8.1,Grosor de la capa IPL-INL celda 8.1,Num,Real (µm)
IPL.INL.8.2,Grosor de la capa IPL-INL celda 8.2,Num,Real (µm)
IPL.INL.8.3,Grosor de la capa IPL-INL celda 8.3,Num,Real (µm)
IPL.INL.8.4,Grosor de la capa IPL-INL celda 8.4,Num,Real (µm)
IPL.INL.8.5,Grosor de la capa IPL-INL celda 8.5,Num,Real (µm)
IPL.INL.8.6,Grosor de la capa IPL-INL celda 8.6,Num,Real (µm)
IPL.INL.8.7,Grosor de la capa IPL-INL celda 8.7,Num,Real (µm)
IPL.INL.8.8,Grosor de la capa IPL-INL celda 8.8,Num,Real (µm)
GCL..IPL.1.1,Grosor de la capa GCL..IPL celda 1.1,Num,Real (µm)
GCL..IPL.1.2,Grosor de la capa GCL..IPL celda 1.2,Num,Real (µm)
GCL..IPL.1.3,Grosor de la capa GCL..IPL celda 1.3,Num,Real (µm)
GCL..IPL.1.4,Grosor de la capa GCL..IPL celda 1.4,Num,Real (µm)
GCL..IPL.1.5,Grosor de la capa GCL..IPL celda 1.5,Num,Real (µm)
GCL..IPL.1.6,Grosor de la capa GCL..IPL celda 1.6,Num,Real (µm)
GCL..IPL.1.7,Grosor de la capa GCL..IPL celda 1.7,Num,Real (µm)
GCL..IPL.1.8,Grosor de la capa GCL..IPL celda 1.8,Num,Real (µm)
GCL..IPL.2.1,Grosor de la capa GCL..IPL celda 2.1,Num,Real (µm)
GCL..IPL.2.2,Grosor de la capa GCL..IPL celda 2.2,Num,Real (µm)
GCL..IPL.2.3,Grosor de la capa GCL..IPL celda 2.3,Num,Real (µm)
GCL..IPL.2.4,Grosor de la capa GCL..IPL celda 2.4,Num,Real (µm)
GCL..IPL.2.5,Grosor de la capa GCL..IPL celda 2.5,Num,Real (µm)
GCL..IPL.2.6,Grosor de la capa GCL..IPL celda 2.6,Num,Real (µm)
GCL..IPL.2.7,Grosor de la capa GCL..IPL celda 2.7,Num,Real (µm)
GCL..IPL.2.8,Grosor de la capa GCL..IPL celda 2.8,Num,Real (µm)
GCL..IPL.3.1,Grosor de la capa GCL..IPL celda 3.1,Num,Real (µm)
GCL..IPL.3.2,Grosor de la capa GCL..IPL celda 3.2,Num,Real (µm)
GCL..IPL.3.3,Grosor de la capa GCL..IPL celda 3.3,Num,Real (µm)
GCL..IPL.3.4,Grosor de la capa GCL..IPL celda 3.4,Num,Real (µm)
GCL..IPL.3.5,Grosor de la capa GCL..IPL celda 3.5,Num,Real (µm)
GCL..IPL.3.6,Grosor de la capa GCL..IPL celda 3.6,Num,Real (µm)
GCL..IPL.3.7,Grosor de la capa GCL..IPL celda 3.7,Num,Real (µm)
GCL..IPL.3.8,Grosor de la capa GCL..IPL celda 3.8,Num,Real (µm)
GCL..IPL.4.1,Grosor de la capa GCL..IPL celda 4.1,Num,Real (µm)
GCL..IPL.4.2,Grosor de la capa GCL..IPL celda 4.2,Num,Real (µm)
GCL..IPL.4.3,Grosor de la capa GCL..IPL celda 4.3,Num,Real (µm)
GCL..IPL.4.4,Grosor de la capa GCL..IPL celda 4.4,Num,Real (µm)
GCL..IPL.4.5,Grosor de la capa GCL..IPL celda 4.5,Num,Real (µm)
GCL..IPL.4.6,Grosor de la capa GCL..IPL celda 4.6,Num,Real (µm)
GCL..IPL.4.7,Grosor de la capa GCL..IPL celda 4.7,Num,Real (µm)
GCL..IPL.4.8,Grosor de la capa GCL..IPL celda 4.8,Num,Real (µm)
GCL..IPL.5.1,Grosor de la capa GCL..IPL celda 5.1,Num,Real (µm)
GCL..IPL.5.2,Grosor de la capa GCL..IPL celda 5.2,Num,Real (µm)
GCL..IPL.5.3,Grosor de la capa GCL..IPL celda 5.3,Num,Real (µm)
GCL..IPL.5.4,Grosor de la capa GCL..IPL celda 5.4,Num,Real (µm)
GCL..IPL.5.5,Grosor de la capa GCL..IPL celda 5.5,Num,Real (µm)
GCL..IPL.5.6,Grosor de la capa GCL..IPL celda 5.6,Num,Real (µm)
GCL..IPL.5.7,Grosor de la capa GCL..IPL celda 5.7,Num,Real (µm)
GCL..IPL.5.8,Grosor de la capa GCL..IPL celda 5.8,Num,Real (µm)
GCL..IPL.6.1,Grosor de la capa GCL..IPL celda 6.1,Num,Real (µm)
GCL..IPL.6.2,Grosor de la capa GCL..IPL celda 6.2,Num,Real (µm)
GCL..IPL.6.3,Grosor de la capa GCL..IPL celda 6.3,Num,Real (µm)
GCL..IPL.6.4,Grosor de la capa GCL..IPL celda 6.4,Num,Real (µm)
GCL..IPL.6.5,Grosor de la capa GCL..IPL celda 6.5,Num,Real (µm)
GCL..IPL.6.6,Grosor de la capa GCL..IPL celda 6.6,Num,Real (µm)
GCL..IPL.6.7,Grosor de la capa GCL..IPL celda 6.7,Num,Real (µm)
GCL..IPL.6.8,Grosor de la capa GCL..IPL celda 6.8,Num,Real (µm)
GCL..IPL.7.1,Grosor de la capa GCL..IPL celda 7.1,Num,Real (µm)
GCL..IPL.7.2,Grosor de la capa GCL..IPL celda 7.2,Num,Real (µm)
GCL..IPL.7.3,Grosor de la capa GCL..IPL celda 7.3,Num,Real (µm)
GCL..IPL.7.4,Grosor de la capa GCL..IPL celda 7.4,Num,Real (µm)
GCL..IPL.7.5,Grosor de la capa GCL..IPL celda 7.5,Num,Real (µm)
GCL..IPL.7.6,Grosor de la capa GCL..IPL celda 7.6,Num,Real (µm)
GCL..IPL.7.7,Grosor de la capa GCL..IPL celda 7.7,Num,Real (µm)
GCL..IPL.7.8,Grosor de la capa GCL..IPL celda 7.8,Num,Real (µm)
GCL..IPL.8.1,Grosor de la capa GCL..IPL celda 8.1,Num,Real (µm)
GCL..IPL.8.2,Grosor de la capa GCL..IPL celda 8.2,Num,Real (µm)
GCL..IPL.8.3,Grosor de la capa GCL..IPL celda 8.3,Num,Real (µm)
GCL..IPL.8.4,Grosor de la capa GCL..IPL celda 8.4,Num,Real (µm)
GCL..IPL.8.5,Grosor de la capa GCL..IPL celda 8.5,Num,Real (µm)
GCL..IPL.8.6,Grosor de la capa GCL..IPL celda 8.6,Num,Real (µm)
GCL..IPL.8.7,Grosor de la capa GCL..IPL celda 8.7,Num,Real (µm)
GCL..IPL.8.8,Grosor de la capa GCL..IPL celda 8.8,Num,Real (µm)
OPL.ELM.1.1,Grosor de la capa OPL-ELM celda 1.1,Num,Real (µm)
OPL.ELM.1.2,Grosor de la capa OPL-ELM celda 1.2,Num,Real (µm)
OPL.ELM.1.3,Grosor de la capa OPL-ELM celda 1.3,Num,Real (µm)
OPL.ELM.1.4,Grosor de la capa OPL-ELM celda 1.4,Num,Real (µm)
